TIME,DtModule_FL_azmthDes,DtModule_FL_azmthAct,DtModule_FL_speedDes,DtModule_FL_speedAct,DtModule_FR_azmthDes,DtModule_FR_azmthAct,DtModule_FR_speedDes,DtModule_FR_speedAct,DtModule_BL_azmthDes,DtModule_BL_azmthAct,DtModule_BL_speedDes,DtModule_BL_speedAct,DtModule_BR_azmthDes,DtModule_BR_azmthAct,DtModule_BR_speedDes,DtModule_BR_speedAct,pose_DES_x,pose_DES_y,pose_DES_rot,pose_EST_x,pose_EST_y,pose_EST_rot,pose_ACT_x,pose_ACT_y,pose_ACT_rot,db_visionTargetAngle,db_visionTargetVisible,db_masterCaution,db_shooterSpeed,db_pneumaticsPressure,db_shooterSpoolup,db_hopperFull,db_Yeet,db_clmberExtend,batMan/rioVoltage,batMan/batteryVoltage,batMan/batteryAmps,batMan/rioBrownOutStatus,batMan/busRail3v3,batMan/busRail5v,batMan/busRail6v,batMan/upperElevatorCurrent,batMan/lowerElevatorCurrent,batMan/intakeCurrent,batMan/canRXErrors,batMan/canTXErrors,batMan/canBusLoad,di/curFwdRevCmd,di/curRotCmd,di/curSideToSideCmd,di/robotRelative,di/fwdRevSlewCmd,di/rotSlewCmd,di/sideToSideSlewCmd,di/spinMoveCmd,di/driveToCenterCmd,di/resetOdometry,di/isConnected,dt/moduleFL/azmthCtrl/actAng,dt/moduleFL/azmthCtrl/angSetpoint,dt/moduleFL/azmthCtrl/desAngleRateLimit,dt/moduleFL/azmthCtrl/invertWheelDirection,dt/moduleFL/wheelMotorCmd,dt/moduleFR/azmthCtrl/actAng,dt/moduleFR/azmthCtrl/angSetpoint,dt/moduleFR/azmthCtrl/desAngleRateLimit,dt/moduleFR/azmthCtrl/invertWheelDirection,dt/moduleFR/wheelMotorCmd,dt/moduleBL/azmthCtrl/actAng,dt/moduleBL/azmthCtrl/angSetpoint,dt/moduleBL/azmthCtrl/desAngleRateLimit,dt/moduleBL/azmthCtrl/invertWheelDirection,dt/moduleBL/wheelMotorCmd,dt/moduleBR/azmthCtrl/actAng,dt/moduleBR/azmthCtrl/angSetpoint,dt/moduleBR/azmthCtrl/desAngleRateLimit,dt/moduleBR/azmthCtrl/invertWheelDirection,dt/moduleBR/wheelMotorCmd,dt/pe/curSpeed,dt/hdc/xFF,dt/hdc/yFF,dt/hdc/thetaFF,dt/hdc/xFeedback,dt/hdc/yFeedback,dt/hdc/thetaFeedback,dt/desChSpdVx,dt/desChSpdVy,dt/desChSpdOmega,ad/curAutoCmdRotDeg,ad/curAutoCmdRotVelDegPerSec,mainLoopDuration,mainLoopPeriod,plant/currentDraw_A,plant/batteryVoltage_V,plant/isBrownedOut,
sec,deg,deg,RPM,RPM,deg,deg,RPM,RPM,deg,deg,RPM,RPM,deg,deg,RPM,RPM,m,m,rad,m,m,rad,m,m,rad,,,,,,,,,,V,V,A,Status,V,V,V,A,A,A,count,count,pct,cmd,cmd,cmd,bool,cmd,cmd,cmd,bool,bool,bool,bool,deg,deg,deg,,cmd,deg,deg,deg,,cmd,deg,deg,deg,,cmd,deg,deg,deg,,cmd,ft/sec,mps,mps,radpersec,mps,mps,radpersec,,,,,,sec,sec,A,V,,
180.050877,-45.0,0.012777659718578341,0.0,-0.0,45.0,-0.02281914189534593,0.0,0.0,45.0,0.012221213519467875,0.0,-0.0,-45.0,0.04171407400510825,0.0,0.0,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012777659718578341,0.0,-45.0,0.0,0.0,-0.02281914189534593,0.0,45.0,0.0,0.0,0.012221213519467875,0.0,45.0,0.0,0.0,0.04171407400510825,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.820000000085201E-4,0.35151799999999866,2.0,13.2,0.0,
180.077465,-45.00000000000001,-14.577066090281429,-0.0,-0.0,45.0,14.567024608104662,0.0,0.0,44.99999999999999,14.602064963519476,-0.0,-0.0,-45.0,-14.636020300994897,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.577066090281429,0.0,-45.00000000000001,0.0,0.0,14.567024608104662,0.0,45.0,0.0,0.0,14.602064963519476,0.0,44.99999999999999,0.0,0.0,-14.636020300994897,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.005132000000003245,0.02658800000000383,6.468349366064487,13.2,0.0,
180.138484,-45.00000000000001,-28.903237965281434,-0.0,-0.0,45.0,28.893196483104653,0.0,0.0,44.99999999999999,28.928236838519467,-0.0,-0.0,-45.0,-28.874301550994893,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.903237965281434,0.0,-45.00000000000001,0.0,0.0,28.893196483104653,0.0,45.0,0.0,0.0,28.928236838519467,0.0,44.99999999999999,0.0,0.0,-28.874301550994893,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.0573930000000189,0.06101900000001592,0.5909747612539178,13.2,0.0,
180.143765,-45.00000000000001,-37.07706609028143,-0.0,-0.0,45.0,37.15491523310466,0.0,0.0,44.99999999999999,37.102064963519474,-0.0,-0.0,-45.0,-37.13602030099489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.07706609028143,0.0,-45.00000000000001,0.0,0.0,37.15491523310466,0.0,45.0,0.0,0.0,37.102064963519474,0.0,44.99999999999999,0.0,0.0,-37.13602030099489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.0015379999999822758,0.0052809999999965385,0.5404374515712345,13.2,0.0,
180.150678,-45.00000000000001,-41.207925465281434,-0.0,-0.0,45.0,41.19788398310467,0.0,0.0,44.99999999999999,41.14503371351947,-0.0,-0.0,-45.0,-41.178989050994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.207925465281434,0.0,-45.00000000000001,0.0,0.0,41.19788398310467,0.0,45.0,0.0,0.0,41.14503371351947,0.0,44.99999999999999,0.0,0.0,-41.178989050994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.00220400000000609,0.006911999999999807,1.178938284209294,13.2,0.0,
180.155586,-45.00000000000001,-43.22940984028141,-0.0,-0.0,45.0,43.13147773310466,0.0,0.0,44.99999999999999,43.166518088519474,-0.0,-0.0,-45.0,-43.2004734259949,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.22940984028141,0.0,-45.00000000000001,0.0,0.0,43.13147773310466,0.0,45.0,0.0,0.0,43.166518088519474,0.0,44.99999999999999,0.0,0.0,-43.2004734259949,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.0010729999999909978,0.0049080000000003565,1.598018442558872,13.2,0.0,
180.160279,-45.00000000000001,-44.108316090281434,-0.0,-0.0,45.0,44.09827460810466,0.0,0.0,44.99999999999999,44.133314963519474,-0.0,-0.0,-45.0,-44.079379675994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.108316090281434,0.0,-45.00000000000001,0.0,0.0,44.09827460810466,0.0,45.0,0.0,0.0,44.133314963519474,0.0,44.99999999999999,0.0,0.0,-44.079379675994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,9.709999999927277E-4,0.004692000000005692,1.8024651606446083,13.2,0.0,
180.167192,-45.00000000000001,-44.54776921528143,-0.0,-0.0,45.0,44.62561835810465,0.0,0.0,44.99999999999999,44.572768088519474,-0.0,-0.0,-45.0,-44.60672342599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.54776921528143,0.0,-45.00000000000001,0.0,0.0,44.62561835810465,0.0,45.0,0.0,0.0,44.572768088519474,0.0,44.99999999999999,0.0,0.0,-44.60672342599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.002438999999981206,0.006913999999994758,1.9092408820047304,13.2,0.0,
180.171028,-45.00000000000001,-44.81144109028143,-0.0,-0.0,45.0,44.80139960810465,0.0,0.0,44.99999999999999,44.836439963519474,-0.0,-0.0,-45.0,-44.782504675994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.81144109028143,0.0,-45.00000000000001,0.0,0.0,44.80139960810465,0.0,45.0,0.0,0.0,44.836439963519474,0.0,44.99999999999999,0.0,0.0,-44.782504675994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,7.999999999981355E-4,0.0038350000000093587,1.9520625862659229,13.2,0.0,
