TIME,DtModule_FL_azmthDes,DtModule_FL_azmthAct,DtModule_FL_speedDes,DtModule_FL_speedAct,DtModule_FR_azmthDes,DtModule_FR_azmthAct,DtModule_FR_speedDes,DtModule_FR_speedAct,DtModule_BL_azmthDes,DtModule_BL_azmthAct,DtModule_BL_speedDes,DtModule_BL_speedAct,DtModule_BR_azmthDes,DtModule_BR_azmthAct,DtModule_BR_speedDes,DtModule_BR_speedAct,pose_DES_x,pose_DES_y,pose_DES_rot,pose_EST_x,pose_EST_y,pose_EST_rot,pose_ACT_x,pose_ACT_y,pose_ACT_rot,db_visionTargetAngle,db_visionTargetVisible,db_masterCaution,db_shooterSpeed,db_pneumaticsPressure,db_shooterSpoolup,db_hopperFull,db_Yeet,db_clmberExtend,batMan/rioVoltage,batMan/batteryVoltage,batMan/batteryAmps,batMan/rioBrownOutStatus,batMan/busRail3v3,batMan/busRail5v,batMan/busRail6v,batMan/upperElevatorCurrent,batMan/lowerElevatorCurrent,batMan/intakeCurrent,batMan/canRXErrors,batMan/canTXErrors,batMan/canBusLoad,di/curFwdRevCmd,di/curRotCmd,di/curSideToSideCmd,di/robotRelative,di/fwdRevSlewCmd,di/rotSlewCmd,di/sideToSideSlewCmd,di/spinMoveCmd,di/driveToCenterCmd,di/resetOdometry,di/isConnected,dt/moduleFL/azmthCtrl/actAng,dt/moduleFL/azmthCtrl/angSetpoint,dt/moduleFL/azmthCtrl/desAngleRateLimit,dt/moduleFL/azmthCtrl/invertWheelDirection,dt/moduleFL/wheelMotorCmd,dt/moduleFR/azmthCtrl/actAng,dt/moduleFR/azmthCtrl/angSetpoint,dt/moduleFR/azmthCtrl/desAngleRateLimit,dt/moduleFR/azmthCtrl/invertWheelDirection,dt/moduleFR/wheelMotorCmd,dt/moduleBL/azmthCtrl/actAng,dt/moduleBL/azmthCtrl/angSetpoint,dt/moduleBL/azmthCtrl/desAngleRateLimit,dt/moduleBL/azmthCtrl/invertWheelDirection,dt/moduleBL/wheelMotorCmd,dt/moduleBR/azmthCtrl/actAng,dt/moduleBR/azmthCtrl/angSetpoint,dt/moduleBR/azmthCtrl/desAngleRateLimit,dt/moduleBR/azmthCtrl/invertWheelDirection,dt/moduleBR/wheelMotorCmd,dt/pe/curSpeed,dt/hdc/xFF,dt/hdc/yFF,dt/hdc/thetaFF,dt/hdc/xFeedback,dt/hdc/yFeedback,dt/hdc/thetaFeedback,dt/desChSpdVx,dt/desChSpdVy,dt/desChSpdOmega,ad/curAutoCmdRotDeg,ad/curAutoCmdRotVelDegPerSec,mainLoopDuration,mainLoopPeriod,plant/currentDraw_A,plant/batteryVoltage_V,plant/isBrownedOut,
sec,deg,deg,RPM,RPM,deg,deg,RPM,RPM,deg,deg,RPM,RPM,deg,deg,RPM,RPM,m,m,rad,m,m,rad,m,m,rad,,,,,,,,,,V,V,A,Status,V,V,V,A,A,A,count,count,pct,cmd,cmd,cmd,bool,cmd,cmd,cmd,bool,bool,bool,bool,deg,deg,deg,,cmd,deg,deg,deg,,cmd,deg,deg,deg,,cmd,deg,deg,deg,,cmd,ft/sec,mps,mps,radpersec,mps,mps,radpersec,,,,,,sec,sec,A,V,,
9.65748,-45.0,-44.98722234028142,0.0,-0.0,45.0,44.97718085810465,0.0,0.0,45.0,45.01222121351947,0.0,-0.0,-45.0,-45.046176550994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.0,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,45.0,0.0,0.0,-45.046176550994886,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001560000000001338,0.1065080000000016,2.0,13.2,0.0,
9.686827,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,45.06507148310466,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-44.95828592599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,45.06507148310466,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-44.95828592599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.003045999999999438,0.029346999999999568,2.002332492993289,13.2,0.0,
9.697655,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-45.046176550994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-45.046176550994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.005698000000000647,0.01082599999999978,2.0046024193630587,13.2,0.0,
9.724594,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-44.95828592599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-44.95828592599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,9.619999999994633E-4,0.026939999999999742,2.0047724193187775,13.2,0.0,
9.728557,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-45.046176550994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-45.046176550994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,9.80000000000203E-4,0.003963000000000605,2.0023173374946914,13.2,0.0,
9.73457,-45.00000000000001,-45.075112965281434,-0.0,-0.0,45.0,45.06507148310466,0.0,0.0,44.99999999999999,44.924330588519474,-0.0,-0.0,-45.0,-44.95828592599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.075112965281434,0.0,-45.00000000000001,0.0,0.0,45.06507148310466,0.0,45.0,0.0,0.0,44.924330588519474,0.0,44.99999999999999,0.0,0.0,-44.95828592599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,8.099999999995333E-4,0.006008999999998821,2.0023813029091744,13.2,0.0,
9.740416,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-45.046176550994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-45.046176550994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.0025319999999986464,0.005848999999999549,2.0093353114918697,13.2,0.0,
9.744126,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-44.95828592599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-44.95828592599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,8.059999999989742E-4,0.00370999999999988,2.0095388186430214,13.2,0.0,
9.747958,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-45.046176550994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-45.046176550994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,7.719999999995508E-4,0.003830999999999918,2.0021856922596895,13.2,0.0,
9.752723,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,45.06507148310466,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-44.95828592599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,45.06507148310466,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-44.95828592599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,8.240000000014902E-4,0.004763000000000517,2.002377408715796,13.2,0.0,
9.770377,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-45.046176550994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-45.046176550994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.0011010000000002407,0.017654999999999532,2.004700523766455,13.2,0.0,
9.791492,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-44.95828592599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-44.95828592599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,9.090000000000487E-4,0.021114999999999995,2.004768431546942,13.2,0.0,
9.810472,-45.00000000000001,-45.075112965281434,-0.0,-0.0,45.0,45.06507148310466,0.0,0.0,44.99999999999999,44.924330588519474,-0.0,-0.0,-45.0,-45.046176550994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.075112965281434,0.0,-45.00000000000001,0.0,0.0,45.06507148310466,0.0,45.0,0.0,0.0,44.924330588519474,0.0,44.99999999999999,0.0,0.0,-45.046176550994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,8.569999999998856E-4,0.018978999999999857,2.0023173938138035,13.2,0.0,
9.830462,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-44.95828592599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-44.95828592599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,9.430000000012484E-4,0.0199890000000007,2.0093371994874984,13.2,0.0,
9.854174,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-44.95828592599489,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-44.95828592599489,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.0013740000000002084,0.02371100000000048,2.0095387628680577,13.2,0.0,
9.871444,-45.00000000000001,-44.98722234028142,-0.0,-0.0,45.0,44.97718085810465,0.0,0.0,44.99999999999999,45.01222121351947,-0.0,-0.0,-45.0,-45.046176550994886,0.0,0.0,7.539199999999999,1.8657489594683936,-1.5707963267948966,7.539199999999999,1.8657489594683936,-1.570867014313643,7.539199999999999,1.8657489594683936,-1.570867014313643,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936,12.0,0.0,0.0,3.3,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.98722234028142,0.0,-45.00000000000001,0.0,0.0,44.97718085810465,0.0,45.0,0.0,0.0,45.01222121351947,0.0,44.99999999999999,0.0,0.0,-45.046176550994886,0.0,-45.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,4.5946887185155383E-4,-0.0,0.0,4.5946887185155383E-4,0.0,0.0,0.0010550000000009163,0.017269000000000645,1.9997365374737175,13.2,0.0,
